Vùng,Năm,Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Tổng dân số,Nam,Nữ,Tổng dân số thành thị,Tổng dân số nông thôn,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên,Tỷ suất nhập cư,Tỷ suất xuất cư,Tỷ suất di cư thuần,Tỷ số giới tính,Khu vực,Tỉ lệ thất nghiệp,Tỉ lệ thất nghiệp ở thành thị,Tỉ lệ thất nghiệp ở nông thôn,Phần trăm dân số
Hòa Bình,2020,4590.3,861.2,188.0,861.22,432.76,428.46,205.41,655.81,15.35,7.51,7.84,0.75,12.07,-11.32,101.0,Trung du và miền núi phía Bắc,4.57,2.47,5.6,0.88
Hòa Bình,2021,4590.3,871.7,190.0,871.72,438.04,433.68,208.79,662.94,13.7,6.7,7.01,2,12.35,-10.4,101.0,Trung du và miền núi phía Bắc,3.94,1.32,5.93,0.88
Hòa Bình,2022,4590.3,875.4,191.0,875.38,440.7,434.68,222.63,652.75,13.8,7.93,5.87,1.49,7.26,-5.77,101.38,Trung du và miền núi phía Bắc,3.08,4.15,1.58,0.88
Hòa Bình,2023,4590.3,880.5,191.8,880.47,443.31,437.17,226.06,654.42,13.36,5.94,7.42,0.99,9.95,-8.96,98.17,Trung du và miền núi phía Bắc,1.17,0.66,5.21,0.88
Hòa Bình,2024,4590.8,894.5,194.8,894.5,450.4,444.11,234.1,660.4,12.36,10.59,1.77,3.97,5.65,-1.68,101.42,Trung du và miền núi phía Bắc,4.56,1.21,5.41,0.88
Thanh Hóa,2011,11131.9,3427.6,307.9,3427.59,1697.15,1730.43,383.28,3044.31,14.8,8.4,6.3,9.8,14.5,-4.6,98.08,Bắc Trung Bộ và duyên hải miền Trung,4.76,1.9,3.47,3.89
Thanh Hóa,2012,11132.2,3449.4,309.9,3449.44,1709.63,1739.81,400.07,3049.37,16.7,7.0,9.6,5.1,10.3,-5.2,98.27,Bắc Trung Bộ và duyên hải miền Trung,1.81,1.14,4.04,3.87
Thanh Hóa,2013,11130.5,3484.8,313.1,3484.77,1728.82,1755.95,419.2,3065.58,15.7,6.8,8.9,13.3,11,2.3,98.46,Bắc Trung Bộ và duyên hải miền Trung,1.35,1.01,3.02,3.86
Thanh Hóa,2014,11129.5,3507.1,315.1,3507.09,1741.58,1765.51,437.33,3069.76,18.5,7.9,10.6,5.7,10.1,-4.4,98.65,Bắc Trung Bộ và duyên hải miền Trung,4.91,2.03,2.69,3.85
Thanh Hóa,2015,11129.5,3537.0,317.8,3537.0,1758.1,1778.9,457.1,3079.9,18.8,9.1,9.6,3.5,7.2,-3.7,98.8,Bắc Trung Bộ và duyên hải miền Trung,2.54,2.77,5.31,3.84
Thanh Hóa,2016,11114.5,3570.8,321.3,3570.8,1776.7,1794.2,478.6,3092.3,18.5,9.6,8.9,3.2,3.9,-0.7,99.0,Bắc Trung Bộ và duyên hải miền Trung,1.31,0.36,2.63,3.83
Thanh Hóa,2017,11114.7,3603.7,324.2,3603.7,1794.8,1808.9,500.8,3102.9,16.6,7.7,8.9,3.1,4.8,-1.7,99.2,Bắc Trung Bộ và duyên hải miền Trung,2.89,2.74,5.9,3.82
Thanh Hóa,2018,11114.6,3631.3,326.7,3631.3,1810.3,1821.0,523.8,3107.5,17.5,8.5,9.0,1.9,4.2,-2.3,99.4,Bắc Trung Bộ và duyên hải miền Trung,3.59,3.94,1.02,3.81
Thanh Hóa,2019,11114.6,3645.8,328.0,3645.8,1819.3,1826.5,547.2,3098.6,18.0,7.8,10.3,1.1,8.5,-7.5,99.6,Bắc Trung Bộ và duyên hải miền Trung,0.75,4.09,1.74,3.78
Thanh Hóa,2020,11114.7,3664.9,330.0,3664.94,1821.48,1843.47,853.28,2811.66,16.94,7.45,9.49,1.25,10.14,-8.89,98.81,Bắc Trung Bộ và duyên hải miền Trung,4.7,0.77,2.04,3.76
Thanh Hóa,2021,11114.7,3716.4,334.0,3716.43,1848.07,1868.35,993.39,2723.04,14.1,6.7,7.35,0.69,7.85,-7.16,98.91,Bắc Trung Bộ và duyên hải miền Trung,0.47,3.15,0.9,3.77
Thanh Hóa,2022,11114.7,3722.1,335.0,3722.06,1858.34,1863.72,1029.9,2692.16,15.7,7.93,7.77,2.08,6.76,-4.68,99.71,Bắc Trung Bộ và duyên hải miền Trung,1.62,0.99,3.17,3.74
Thanh Hóa,2023,11114.7,3739.5,336.4,3739.48,1867.22,1872.26,1036.13,2703.35,13.92,6.59,7.33,1.04,5.62,-4.58,98.85,Bắc Trung Bộ và duyên hải miền Trung,3.65,3.92,0.77,3.73
Thanh Hóa,2024,11114.7,3764.2,338.7,3764.24,1879.7,1884.54,1058.18,2706.07,15.17,6.14,9.03,3.27,6.78,-3.51,99.74,Bắc Trung Bộ và duyên hải miền Trung,3.64,2.74,2.09,3.71
Nghệ An,2011,16493.7,2996.1,181.7,2996.14,1485.2,1510.94,398.78,2597.36,19.3,7.8,11.6,4.8,11.8,-7,98.3,Bắc Trung Bộ và duyên hải miền Trung,2.84,1.36,2.94,3.4
Nghệ An,2012,16490.9,3036.0,184.1,3035.99,1506.14,1529.85,408.16,2627.83,19.3,6.5,12.8,1,10.5,-9.6,98.45,Bắc Trung Bộ và duyên hải miền Trung,4.72,4.0,1.23,3.4
Nghệ An,2013,16492.7,3076.4,186.5,3076.38,1525.51,1550.87,455.11,2621.26,20.6,7.1,13.5,6.8,12.5,-5.7,98.36,Bắc Trung Bộ và duyên hải miền Trung,1.32,1.68,3.65,3.41
Nghệ An,2014,16490.0,3116.3,189.0,3116.33,1549.59,1566.74,460.4,2655.94,21.7,8.0,13.7,19.4,10.1,9.3,98.91,Bắc Trung Bộ và duyên hải miền Trung,3.25,2.81,0.79,3.42
Nghệ An,2015,16490.0,3160.6,191.7,3160.6,1574.1,1586.5,465.1,2695.5,20.7,7.7,13.0,10.1,5.4,4.7,99.2,Bắc Trung Bộ và duyên hải miền Trung,4.21,2.89,3.88,3.43
Nghệ An,2016,16481.7,3203.1,194.3,3203.1,1597.7,1605.4,471.8,2731.3,21.2,8.1,13.1,4.5,3,1.5,99.5,Bắc Trung Bộ và duyên hải miền Trung,3.74,3.46,5.9,3.43
Nghệ An,2017,16481.6,3246.7,197.0,3246.7,1620.0,1626.7,478.4,2768.3,20.7,6.9,13.8,8.9,2.7,6.2,99.6,Bắc Trung Bộ và duyên hải miền Trung,2.01,1.31,2.81,3.44
Nghệ An,2018,16481.6,3291.4,199.7,3291.4,1643.9,1647.5,483.9,2807.5,20.0,5.9,14.1,1.3,4.9,-3.6,99.8,Bắc Trung Bộ và duyên hải miền Trung,4.47,1.14,3.77,3.45
Nghệ An,2019,16481.4,3337.2,202.0,3337.2,1669.5,1667.7,490.5,2846.7,20.8,7.0,13.8,1,7,-6.1,100.11,Bắc Trung Bộ và duyên hải miền Trung,5.21,2.74,5.0,3.46
Nghệ An,2020,16486.5,3365.2,204.0,3365.2,1684.95,1680.24,521.61,2843.59,20.06,6.71,13.36,0.86,10.05,-9.19,100.28,Bắc Trung Bộ và duyên hải miền Trung,3.57,2.86,1.92,3.45
Nghệ An,2021,16486.5,3409.8,207.0,3409.81,1708.42,1701.39,529.48,2880.33,18.2,8.6,9.6,1.38,7.57,-6.19,100.41,Bắc Trung Bộ và duyên hải miền Trung,4.33,1.37,2.72,3.46
Nghệ An,2022,16486.5,3420.0,207.0,3419.99,1711.83,1708.16,530.45,2889.54,17.5,8.38,9.12,1.18,5.15,-3.97,100.42,Bắc Trung Bộ và duyên hải miền Trung,2.23,2.11,4.78,3.44
Nghệ An,2023,16486.5,3442.0,208.8,3441.97,1724.5,1717.48,540.04,2901.93,16.62,7.37,9.26,0.78,4.11,-3.32,97.0,Bắc Trung Bộ và duyên hải miền Trung,4.29,1.2,1.68,3.43
Nghệ An,2024,16486.5,3472.3,210.6,3472.29,1740.47,1731.82,546.0,2926.29,15.45,5.78,9.67,3.81,4.51,-0.7,100.5,Bắc Trung Bộ và duyên hải miền Trung,0.82,1.01,1.54,3.43
Hà Tĩnh,2011,5997.2,1236.7,206.2,1236.71,612.17,624.54,195.25,1041.46,14.0,9.1,4.8,6.2,12.4,-6.2,98.02,Bắc Trung Bộ và duyên hải miền Trung,4.1,3.72,5.38,1.4
Hà Tĩnh,2012,5997.8,1242.1,207.1,1242.09,615.17,626.92,201.57,1040.52,16.3,8.0,8.3,3.7,12.8,-9.1,98.13,Bắc Trung Bộ và duyên hải miền Trung,1.33,3.29,3.66,1.39
Hà Tĩnh,2013,5997.3,1247.6,208.0,1247.56,618.22,629.34,208.11,1039.45,18.3,8.4,9.9,6.9,11,-4.1,98.23,Bắc Trung Bộ và duyên hải miền Trung,4.97,2.22,1.61,1.38
Hà Tĩnh,2014,5997.8,1255.3,209.3,1255.25,622.37,632.88,215.23,1040.02,19.5,11.1,8.4,10.9,14.9,-4,98.34,Bắc Trung Bộ và duyên hải miền Trung,0.82,2.37,3.01,1.38
Hà Tĩnh,2015,5997.8,1261.3,210.3,1261.3,625.7,635.6,222.3,1039.0,16.6,7.6,9.0,3.9,8.2,-4.3,98.4,Bắc Trung Bộ và duyên hải miền Trung,0.87,2.84,1.5,1.37
Hà Tĩnh,2016,5990.6,1266.7,211.4,1266.7,628.7,638.0,229.5,1037.2,19.3,8.6,10.7,3.5,5.1,-1.7,98.6,Bắc Trung Bộ và duyên hải miền Trung,4.14,3.67,3.97,1.36
Hà Tĩnh,2017,5990.7,1274.2,212.7,1274.2,632.8,641.4,237.3,1037.0,19.5,6.6,12.9,1.2,4.9,-3.6,98.7,Bắc Trung Bộ và duyên hải miền Trung,2.93,2.8,4.86,1.35
Hà Tĩnh,2018,5990.7,1280.5,213.7,1280.5,636.3,644.2,245.1,1035.4,17.9,12.1,5.8,1.9,5.5,-3.6,98.8,Bắc Trung Bộ và duyên hải miền Trung,4.23,1.54,2.64,1.34
Hà Tĩnh,2019,5990.7,1290.3,215.0,1290.3,641.5,648.8,253.9,1036.4,17.9,7.7,10.2,2.5,8.1,-5.6,98.88,Bắc Trung Bộ và duyên hải miền Trung,1.22,4.18,2.06,1.34
Hà Tĩnh,2020,5994.5,1296.6,216.0,1296.62,642.16,654.46,287.77,1008.86,17.01,7.38,9.63,1.29,6.75,-5.46,98.12,Bắc Trung Bộ và duyên hải miền Trung,4.27,4.25,3.95,1.33
Hà Tĩnh,2021,5994.5,1314.1,219.0,1314.06,650.79,663.26,293.01,1021.1,18.3,7.8,10.55,2.74,7.93,-5.19,98.12,Bắc Trung Bộ và duyên hải miền Trung,4.59,1.28,2.3,1.33
Hà Tĩnh,2022,5994.5,1323.7,221.0,1317.25,655.1,662.16,293.7,1023.6,18.4,8.99,9.41,2.14,5.51,-3.36,98.93,Bắc Trung Bộ và duyên hải miền Trung,4.89,3.29,5.53,1.32
Hà Tĩnh,2023,5994.4,1323.7,220.8,1323.75,658.39,665.35,298.05,1025.7,17.14,7.5,9.64,2.6,6.53,-3.93,93.22,Bắc Trung Bộ và duyên hải miền Trung,0.9,3.28,3.31,1.32
Hà Tĩnh,2024,5994.5,1329.8,221.8,1329.83,661.22,668.61,300.38,1029.45,13.42,8.46,4.96,4.89,5.77,-0.87,98.9,Bắc Trung Bộ và duyên hải miền Trung,2.27,1.4,2.34,1.31
Quảng Bình,2011,8065.3,854.6,106.0,854.57,427.13,427.44,131.43,723.15,18.3,8.1,10.2,4,10.3,-6.3,99.93,Bắc Trung Bộ và duyên hải miền Trung,0.89,0.62,3.54,0.97
Quảng Bình,2012,8065.3,859.8,106.6,859.79,429.5,430.3,133.22,726.57,19.1,7.5,11.6,7.6,7.6,0,99.81,Bắc Trung Bộ và duyên hải miền Trung,1.38,0.41,2.59,0.96
Quảng Bình,2013,8065.3,865.0,107.3,865.02,432.15,432.87,135.08,729.94,16.0,7.3,8.7,6.5,14.5,-8,99.83,Bắc Trung Bộ và duyên hải miền Trung,3.88,1.91,2.23,0.96
Quảng Bình,2014,8065.3,870.5,107.9,870.49,435.08,435.41,173.92,696.57,17.9,8.1,9.7,5.8,11.4,-5.7,99.92,Bắc Trung Bộ và duyên hải miền Trung,4.39,3.07,3.86,0.95
Quảng Bình,2015,8065.3,875.6,108.6,875.6,437.8,437.8,176.6,699.0,17.5,5.2,12.3,3.2,6.6,-3.4,100.0,Bắc Trung Bộ và duyên hải miền Trung,4.21,3.1,5.33,0.95
Quảng Bình,2016,8000.1,880.6,110.1,880.6,440.5,440.2,179.6,701.0,16.4,7.7,8.7,2,5.3,-3.3,100.1,Bắc Trung Bộ và duyên hải miền Trung,1.59,2.45,2.18,0.94
Quảng Bình,2017,8000.0,885.7,110.7,885.7,443.3,442.4,182.3,703.4,15.9,6.8,9.1,1.6,3.3,-1.7,100.2,Bắc Trung Bộ và duyên hải miền Trung,2.83,1.78,3.71,0.94
Quảng Bình,2018,8000.0,891.1,111.4,891.1,446.8,444.3,185.2,706.0,16.0,8.9,7.1,1.8,4.9,-3.1,100.6,Bắc Trung Bộ và duyên hải miền Trung,3.09,1.15,5.26,0.93
Quảng Bình,2019,8000.0,896.6,112.0,896.6,449.9,446.7,188.2,708.4,17.5,6.5,11.0,1.9,7.3,-5.5,100.72,Bắc Trung Bộ và duyên hải miền Trung,2.01,1.96,3.77,0.93
Quảng Bình,2020,7998.8,902.0,113.0,901.98,452.85,449.14,207.11,694.87,17.16,6.28,10.88,1.02,6.63,-5.6,100.83,Bắc Trung Bộ và duyên hải miền Trung,0.52,2.26,1.69,0.92
Quảng Bình,2021,7998.8,910.7,114.0,910.66,457.4,453.2,210.07,700.59,17.7,6.9,10.81,2.66,5.4,-2.74,100.91,Bắc Trung Bộ và duyên hải miền Trung,4.09,0.64,3.61,0.92
Quảng Bình,2022,7998.8,913.9,114.0,913.86,460.27,453.6,211.7,702.16,14.7,8.21,6.49,3.61,3.53,0.08,101.47,Bắc Trung Bộ và duyên hải miền Trung,4.72,2.9,2.13,0.92
Quảng Bình,2023,7998.8,918.7,114.9,918.66,462.73,455.93,214.87,703.79,18.64,6.77,11.87,3.03,5.19,-2.16,98.29,Bắc Trung Bộ và duyên hải miền Trung,0.99,3.42,3.51,0.92
Quảng Bình,2024,7998.8,924.8,115.6,924.76,465.4,459.36,217.25,707.5,16.05,6.06,9.98,5.4,5.2,0.21,101.32,Bắc Trung Bộ và duyên hải miền Trung,5.17,4.19,4.12,0.91
Quảng Trị,2011,4739.8,604.7,127.6,604.72,298.72,306.0,172.81,431.91,18.1,8.3,9.8,4.9,10,-5.1,97.62,Bắc Trung Bộ và duyên hải miền Trung,0.81,0.8,1.79,0.69
Quảng Trị,2012,4739.8,607.8,128.2,607.77,300.37,307.41,175.45,432.32,17.5,7.9,9.6,3.6,8.4,-4.8,97.71,Bắc Trung Bộ và duyên hải miền Trung,3.57,2.87,5.29,0.68
Quảng Trị,2013,4739.8,611.0,128.9,611.0,302.1,308.9,178.19,432.81,18.2,7.2,11.1,5.3,10.2,-4.9,97.8,Bắc Trung Bộ và duyên hải miền Trung,2.56,4.03,5.73,0.68
Quảng Trị,2014,4739.8,614.4,129.6,614.37,303.9,310.46,181.01,433.36,18.8,7.7,11.1,6.2,10.9,-4.7,97.89,Bắc Trung Bộ và duyên hải miền Trung,4.37,3.64,3.87,0.67
Quảng Trị,2015,4739.8,617.9,130.4,617.9,305.8,312.1,183.9,434.0,18.3,6.7,11.6,4.7,7.4,-2.6,98.0,Bắc Trung Bộ và duyên hải miền Trung,3.98,0.55,4.33,0.67
Quảng Trị,2016,4621.8,621.6,134.5,621.6,307.8,313.8,186.9,434.7,19.9,7.3,12.6,2.5,9.2,-6.7,98.1,Bắc Trung Bộ và duyên hải miền Trung,2.86,4.2,5.69,0.67
Quảng Trị,2017,4621.7,625.4,135.3,625.4,309.8,315.5,190.0,435.4,17.8,8.0,9.8,2.6,2.4,0.2,98.2,Bắc Trung Bộ và duyên hải miền Trung,2.0,3.14,5.38,0.66
Quảng Trị,2018,4621.7,629.7,136.2,629.7,312.1,317.7,193.2,436.5,16.2,8.7,7.5,2.4,4.9,-2.6,98.2,Bắc Trung Bộ và duyên hải miền Trung,4.11,0.9,1.82,0.66
Quảng Trị,2019,4621.7,633.4,137.0,633.4,314.1,319.4,196.4,437.1,15.7,7.2,8.5,2.3,9.5,-7.3,98.33,Bắc Trung Bộ và duyên hải miền Trung,5.15,2.33,4.02,0.66
Quảng Trị,2020,4701.2,637.4,136.0,637.39,316.01,321.37,206.86,430.52,16.49,6.94,9.55,4.39,10.59,-6.2,98.33,Bắc Trung Bộ và duyên hải miền Trung,3.03,4.02,3.75,0.65
Quảng Trị,2021,4701.2,647.8,138.0,647.79,321.79,326.0,210.96,436.83,15.6,7.4,8.22,3.48,6.65,-3.17,98.71,Bắc Trung Bộ và duyên hải miền Trung,2.73,0.62,2.38,0.66
Quảng Trị,2022,4701.2,650.9,138.0,650.95,324.03,326.92,212.59,438.36,15.6,8.42,7.18,4.65,7.65,-3,99.42,Bắc Trung Bộ và duyên hải miền Trung,3.65,0.35,1.47,0.65
Quảng Trị,2023,4701.2,654.2,139.2,654.2,325.83,328.37,214.25,439.95,14.57,6.72,7.85,2.09,6.31,-4.22,97.27,Bắc Trung Bộ và duyên hải miền Trung,1.68,3.13,3.67,0.65
Quảng Trị,2024,4701.2,659.2,140.2,659.21,328.51,330.7,216.04,443.17,14.79,7.21,7.58,5.38,4.66,0.72,99.34,Bắc Trung Bộ và duyên hải miền Trung,3.29,1.38,3.49,0.65
Thừa Thiên Huế,2011,5033.2,1100.8,218.7,1100.77,544.06,556.72,522.21,578.57,16.0,7.7,8.3,13.5,8.6,4.9,97.73,Bắc Trung Bộ và duyên hải miền Trung,2.79,1.25,3.4,1.25
Thừa Thiên Huế,2012,5033.2,1105.8,219.7,1105.78,546.62,559.16,534.09,571.69,18.2,7.2,10.9,5,7.7,-2.7,97.76,Bắc Trung Bộ và duyên hải miền Trung,4.7,0.59,3.76,1.24
Thừa Thiên Huế,2013,5033.2,1109.8,220.5,1109.8,548.69,561.11,536.7,573.1,16.8,7.2,9.6,6.8,7.1,-0.3,97.79,Bắc Trung Bộ và duyên hải miền Trung,4.46,2.28,2.48,1.23
Thừa Thiên Huế,2014,5033.2,1111.6,220.9,1111.58,549.66,561.93,540.01,571.58,16.4,7.4,9.1,7.1,11.6,-4.5,97.82,Bắc Trung Bộ và duyên hải miền Trung,1.31,2.53,1.92,1.22
Thừa Thiên Huế,2015,5033.2,1114.7,221.5,1114.7,551.3,563.4,542.0,572.7,15.8,5.8,9.9,3,8.4,-5.4,97.8,Bắc Trung Bộ và duyên hải miền Trung,4.49,4.26,1.93,1.21
Thừa Thiên Huế,2016,4902.4,1118.0,228.1,1118.0,553.0,565.0,543.9,574.1,15.3,5.6,9.7,3.2,9.7,-6.5,97.9,Bắc Trung Bộ và duyên hải miền Trung,1.37,3.79,4.51,1.2
Thừa Thiên Huế,2017,4902.5,1123.4,229.1,1123.4,555.7,567.6,548.3,575.0,16.5,7.5,9.0,2.1,2.7,-0.6,97.9,Bắc Trung Bộ và duyên hải miền Trung,0.68,3.02,1.58,1.19
Thừa Thiên Huế,2018,4902.4,1125.4,229.6,1125.4,556.9,568.6,548.1,577.4,13.9,8.3,5.6,1,6.1,-5,97.9,Bắc Trung Bộ và duyên hải miền Trung,4.65,4.1,3.75,1.18
Thừa Thiên Huế,2019,4902.4,1129.5,230.0,1129.5,559.0,570.5,563.4,566.1,17.8,6.7,11.1,3.1,7.4,-4.4,97.96,Bắc Trung Bộ và duyên hải miền Trung,1.14,2.63,4.81,1.17
Thừa Thiên Huế,2020,4947.1,1133.6,229.0,1133.59,561.24,572.35,562.32,571.27,17.23,6.41,10.83,1.96,7.35,-5.39,98.06,Bắc Trung Bộ và duyên hải miền Trung,5.15,0.62,3.77,1.16
Thừa Thiên Huế,2021,4947.1,1153.8,233.0,1153.8,571.24,582.5,609.38,544.42,17.0,7.5,9.49,6.02,3.88,2.14,98.06,Bắc Trung Bộ và duyên hải miền Trung,4.18,1.35,2.52,1.17
Thừa Thiên Huế,2022,4947.1,1160.2,235.0,1160.22,578.22,582.0,612.83,547.4,17.9,6.82,11.08,5.25,4.76,0.49,99.35,Bắc Trung Bộ và duyên hải miền Trung,4.56,2.81,5.76,1.17
Thừa Thiên Huế,2023,4947.1,1166.5,235.8,1166.55,581.43,585.11,616.23,550.31,16.06,5.73,10.34,8.3,2.74,5.56,95.91,Bắc Trung Bộ và duyên hải miền Trung,4.71,3.1,3.25,1.16
Thừa Thiên Huế,2024,4947.1,1178.6,238.2,1178.55,587.41,591.14,622.59,555.96,15.55,5.46,10.09,4.22,7.27,-3.05,99.37,Bắc Trung Bộ và duyên hải miền Trung,4.64,2.01,5.13,1.16
Đà Nẵng,2011,1285.4,968.7,753.6,968.65,477.68,490.97,841.94,126.71,18.0,6.7,11.3,22.8,7.9,14.9,97.29,Bắc Trung Bộ và duyên hải miền Trung,1.48,3.93,1.16,1.1
Đà Nẵng,2012,1285.4,996.3,775.1,996.29,491.28,505.02,866.26,130.03,18.4,6.1,12.3,17.5,6.3,11.2,97.28,Bắc Trung Bộ và duyên hải miền Trung,5.02,3.94,4.99,1.12
Đà Nẵng,2013,1285.4,1017.3,791.5,1017.33,501.62,515.71,884.86,132.47,19.4,6.4,13.1,15.5,9.7,5.8,97.27,Bắc Trung Bộ và duyên hải miền Trung,4.99,3.54,3.48,1.13
Đà Nẵng,2014,1285.4,1033.9,804.4,1033.93,509.77,524.16,899.61,134.33,17.7,5.0,12.7,14,13.8,0.2,97.26,Bắc Trung Bộ và duyên hải miền Trung,4.19,2.66,5.66,1.13
Đà Nẵng,2015,1285.4,1056.3,821.8,1056.3,520.8,535.5,919.4,136.9,17.6,6.5,11.0,11.6,6.7,4.9,97.2,Bắc Trung Bộ và duyên hải miền Trung,3.09,0.91,5.39,1.15
Đà Nẵng,2016,1284.7,1080.3,840.9,1080.3,532.6,547.7,940.6,139.7,18.9,6.5,12.5,12.3,5.8,6.5,97.2,Bắc Trung Bộ và duyên hải miền Trung,2.08,4.06,3.68,1.16
Đà Nẵng,2017,1284.9,1097.8,854.4,1097.8,541.2,556.6,956.1,141.6,15.2,6.3,8.9,7,2.7,4.3,97.2,Bắc Trung Bộ và duyên hải miền Trung,2.03,3.1,1.78,1.16
Đà Nẵng,2018,1284.9,1114.4,867.3,1114.4,549.3,565.1,970.9,143.4,12.4,8.3,4.1,6.6,1.9,4.7,97.2,Bắc Trung Bộ và duyên hải miền Trung,2.71,0.88,2.67,1.17
Đà Nẵng,2019,1284.9,1141.1,888.0,1141.1,562.4,578.7,994.6,146.5,17.7,5.0,12.7,16.7,3,13.7,97.19,Bắc Trung Bộ và duyên hải miền Trung,3.16,4.07,4.28,1.18
Đà Nẵng,2020,1284.7,1169.5,910.0,1169.48,578.57,590.92,1020.44,149.04,19.53,4.84,14.69,13.7,2.67,11.03,97.91,Bắc Trung Bộ và duyên hải miền Trung,0.78,1.65,2.93,1.2
Đà Nẵng,2021,1284.7,1195.5,931.0,1195.49,591.43,604.06,1044.33,151.16,18.7,4.5,14.22,18.93,5.41,13.51,97.91,Bắc Trung Bộ và duyên hải miền Trung,4.22,3.79,1.63,1.21
Đà Nẵng,2022,1284.7,1220.2,950.0,1220.19,604.48,615.71,1067.07,153.12,18.2,5.26,12.94,10.41,4.62,5.8,98.18,Bắc Trung Bộ và duyên hải miền Trung,3.86,1.3,1.84,1.23
Đà Nẵng,2023,1284.7,1245.2,969.2,1245.21,617.13,628.09,1091.34,153.88,17.57,5.19,12.38,15.78,2.47,13.31,97.39,Bắc Trung Bộ và duyên hải miền Trung,3.19,1.2,3.79,1.24
Đà Nẵng,2024,1284.7,1276.0,993.2,1276.0,632.42,643.58,1120.46,155.54,17.02,5.0,12.02,18.96,7.32,11.64,98.27,Bắc Trung Bộ và duyên hải miền Trung,4.41,2.58,2.84,1.26
Quảng Nam,2011,10438.4,1436.8,137.6,1436.83,701.28,735.55,273.21,1163.62,16.8,7.9,9.0,8.8,11.1,-2.3,95.34,Bắc Trung Bộ và duyên hải miền Trung,1.65,0.81,0.87,1.63
Quảng Nam,2012,10438.4,1444.0,138.3,1443.98,705.61,738.37,276.54,1167.44,19.1,6.9,12.2,3.3,6.9,-3.6,95.56,Bắc Trung Bộ và duyên hải miền Trung,2.09,1.21,5.58,1.62
Quảng Nam,2013,10438.4,1451.4,139.0,1451.37,710.09,741.28,279.85,1171.52,20.5,8.2,12.3,6.2,7.7,-1.5,95.79,Bắc Trung Bộ và duyên hải miền Trung,1.83,2.33,3.62,1.61
Quảng Nam,2014,10438.4,1459.8,139.8,1459.79,714.72,745.07,283.46,1176.33,16.7,7.6,9.1,4.6,6.7,-2.1,95.93,Bắc Trung Bộ và duyên hải miền Trung,1.4,0.38,1.71,1.6
Quảng Nam,2015,10438.4,1468.2,140.7,1468.2,719.4,748.7,359.9,1108.3,15.7,6.4,9.2,2.5,6.3,-3.8,96.1,Bắc Trung Bộ và duyên hải miền Trung,2.56,2.46,4.39,1.59
Quảng Nam,2016,10575.0,1475.7,139.5,1475.7,724.0,751.7,363.9,1111.8,15.6,6.5,9.1,4.3,5.1,-0.8,96.3,Bắc Trung Bộ và duyên hải miền Trung,2.87,2.22,4.86,1.58
Quảng Nam,2017,10574.7,1483.3,140.3,1483.3,728.5,754.8,368.4,1114.9,15.2,8.7,6.5,1.5,3,-1.5,96.5,Bắc Trung Bộ và duyên hải miền Trung,2.83,0.65,5.15,1.57
Quảng Nam,2018,10574.7,1490.8,141.0,1490.8,732.8,757.9,373.1,1117.7,15.7,11.0,4.6,1.6,2.8,-1.2,96.7,Bắc Trung Bộ và duyên hải miền Trung,2.72,1.42,3.35,1.56
Quảng Nam,2019,10574.7,1497.5,142.0,1497.5,736.5,760.9,379.6,1117.8,16.2,7.1,9.1,1.6,7.7,-6,96.8,Bắc Trung Bộ và duyên hải miền Trung,3.38,3.06,3.79,1.55
Quảng Nam,2020,10574.9,1505.0,142.0,1505.04,740.36,764.69,396.2,1108.84,16.19,6.83,9.35,1.41,7.07,-5.66,96.82,Bắc Trung Bộ và duyên hải miền Trung,5.25,0.94,3.49,1.54
Quảng Nam,2021,10574.9,1518.5,144.0,1518.48,746.97,771.51,401.26,1117.22,16.8,4.9,11.98,3.46,8.14,-4.67,96.82,Bắc Trung Bộ và duyên hải miền Trung,2.37,2.64,3.82,1.54
Quảng Nam,2022,10574.9,1519.4,144.0,1519.38,750.47,768.91,407.39,1111.99,14.9,7.31,7.59,4.47,3.14,1.34,97.6,Bắc Trung Bộ và duyên hải miền Trung,2.88,2.13,5.31,1.53
Quảng Nam,2023,10574.9,1526.1,144.3,1526.06,753.84,772.21,469.14,1056.92,14.81,6.32,8.5,1.92,7.74,-5.82,95.36,Bắc Trung Bộ và duyên hải miền Trung,2.69,3.72,4.43,1.52
Quảng Nam,2024,10574.9,1543.9,146.0,1543.94,762.72,781.22,474.84,1069.1,14.12,6.89,7.23,3.68,7.56,-3.87,97.63,Bắc Trung Bộ và duyên hải miền Trung,5.23,3.52,4.21,1.52
Quảng Ngãi,2011,5153.0,1220.1,236.8,1220.12,601.9,618.21,182.48,1037.64,17.3,7.1,10.2,5.4,13.3,-7.9,97.36,Bắc Trung Bộ và duyên hải miền Trung,0.47,3.72,5.05,1.38
Quảng Ngãi,2012,5153.0,1221.8,237.1,1221.83,602.84,618.99,184.79,1037.04,17.0,6.7,10.3,1.8,7.6,-5.8,97.39,Bắc Trung Bộ và duyên hải miền Trung,4.68,0.77,1.45,1.37
Quảng Ngãi,2013,5152.0,1223.1,237.4,1223.05,603.59,619.46,187.06,1035.99,19.2,6.6,12.6,4.2,6,-1.9,97.44,Bắc Trung Bộ và duyên hải miền Trung,2.6,1.99,4.59,1.36
